episode,scenario,agent,step,pos_x,pos_y,action,collected,done
0,scenario1,RandomAgent,0,1,0,down,0,False
0,scenario1,RandomAgent,1,2,0,down,0,False
0,scenario1,RandomAgent,2,3,0,down,0,False
0,scenario1,RandomAgent,3,3,0,left,0,False
0,scenario1,RandomAgent,4,2,0,up,0,False
0,scenario1,RandomAgent,5,3,0,down,0,False
0,scenario1,RandomAgent,6,3,0,left,0,False
0,scenario1,RandomAgent,7,4,0,down,0,False
0,scenario1,RandomAgent,8,4,0,collect,0,False
0,scenario1,RandomAgent,9,4,0,down,0,False
0,scenario1,RandomAgent,10,3,0,up,0,False
0,scenario1,RandomAgent,11,4,0,down,0,False
0,scenario1,RandomAgent,12,3,0,up,0,False
0,scenario1,RandomAgent,13,3,1,right,0,False
0,scenario1,RandomAgent,14,2,1,up,0,False
0,scenario1,RandomAgent,15,3,1,down,0,False
0,scenario1,RandomAgent,16,3,1,collect,0,False
0,scenario1,RandomAgent,17,2,1,up,0,False
0,scenario1,RandomAgent,18,2,0,left,0,False
0,scenario1,RandomAgent,19,2,1,right,0,False
0,scenario1,RandomAgent,20,2,2,right,0,False
0,scenario1,RandomAgent,21,2,1,left,0,False
0,scenario1,RandomAgent,22,1,1,up,0,False
0,scenario1,RandomAgent,23,0,1,up,0,False
0,scenario1,RandomAgent,24,0,1,up,0,False
0,scenario1,RandomAgent,25,0,1,collect,0,False
0,scenario1,RandomAgent,26,1,1,down,0,False
0,scenario1,RandomAgent,27,1,1,collect,0,False
0,scenario1,RandomAgent,28,1,2,right,0,False
0,scenario1,RandomAgent,29,1,1,left,0,False
0,scenario1,RandomAgent,30,1,1,collect,0,False
0,scenario1,RandomAgent,31,1,0,left,0,False
0,scenario1,RandomAgent,32,1,0,left,0,False
0,scenario1,RandomAgent,33,1,0,collect,0,False
0,scenario1,RandomAgent,34,2,0,down,0,False
0,scenario1,RandomAgent,35,1,0,up,0,False
0,scenario1,RandomAgent,36,0,0,up,0,False
0,scenario1,RandomAgent,37,0,0,up,0,False
0,scenario1,RandomAgent,38,1,0,down,0,False
0,scenario1,RandomAgent,39,1,0,left,0,False
0,scenario1,RandomAgent,40,1,1,right,0,False
0,scenario1,RandomAgent,41,1,2,right,0,False
0,scenario1,RandomAgent,42,1,1,left,0,False
0,scenario1,RandomAgent,43,1,2,right,0,False
0,scenario1,RandomAgent,44,1,1,left,0,False
0,scenario1,RandomAgent,45,2,1,down,0,False
0,scenario1,RandomAgent,46,3,1,down,0,False
0,scenario1,RandomAgent,47,3,2,right,0,False
0,scenario1,RandomAgent,48,4,2,down,0,False
0,scenario1,RandomAgent,49,4,2,collect,0,False
0,scenario1,RandomAgent,50,4,2,collect,0,False
0,scenario1,RandomAgent,51,4,1,left,0,False
0,scenario1,RandomAgent,52,4,1,down,0,False
0,scenario1,RandomAgent,53,4,1,collect,0,False
0,scenario1,RandomAgent,54,3,1,up,0,False
0,scenario1,RandomAgent,55,3,0,left,0,False
0,scenario1,RandomAgent,56,3,0,left,0,False
0,scenario1,RandomAgent,57,3,1,right,0,False
0,scenario1,RandomAgent,58,3,2,right,0,False
0,scenario1,RandomAgent,59,3,1,left,0,False
0,scenario1,RandomAgent,60,3,2,right,0,False
0,scenario1,RandomAgent,61,3,2,collect,0,False
0,scenario1,RandomAgent,62,2,2,up,0,False
0,scenario1,RandomAgent,63,2,2,collect,0,False
0,scenario1,RandomAgent,64,2,3,right,0,False
0,scenario1,RandomAgent,65,2,3,collect,0,False
0,scenario1,RandomAgent,66,2,4,right,0,False
0,scenario1,RandomAgent,67,3,4,down,0,False
0,scenario1,RandomAgent,68,3,4,right,0,False
0,scenario1,RandomAgent,69,3,3,left,0,False
0,scenario1,RandomAgent,70,3,3,collect,0,False
0,scenario1,RandomAgent,71,4,3,down,0,False
0,scenario1,RandomAgent,72,4,3,collect,0,False
0,scenario1,RandomAgent,73,4,3,down,0,False
0,scenario1,RandomAgent,74,4,4,right,0,False
0,scenario1,RandomAgent,75,3,4,up,0,False
0,scenario1,RandomAgent,76,3,4,right,0,False
0,scenario1,RandomAgent,77,3,4,collect,0,False
0,scenario1,RandomAgent,78,4,4,down,0,False
0,scenario1,RandomAgent,79,4,4,collect,0,False
0,scenario1,RandomAgent,80,4,4,down,0,False
0,scenario1,RandomAgent,81,4,4,down,0,False
0,scenario1,RandomAgent,82,4,3,left,0,False
0,scenario1,RandomAgent,83,3,3,up,0,False
0,scenario1,RandomAgent,84,4,3,down,0,False
0,scenario1,RandomAgent,85,4,3,collect,0,False
0,scenario1,RandomAgent,86,4,2,left,0,False
0,scenario1,RandomAgent,87,4,2,collect,0,False
0,scenario1,RandomAgent,88,4,2,collect,0,False
0,scenario1,RandomAgent,89,4,1,left,0,False
0,scenario1,RandomAgent,90,4,1,collect,0,False
0,scenario1,RandomAgent,91,3,1,up,0,False
0,scenario1,RandomAgent,92,2,1,up,0,False
0,scenario1,RandomAgent,93,1,1,up,0,False
0,scenario1,RandomAgent,94,0,1,up,0,False
0,scenario1,RandomAgent,95,0,2,right,0,False
0,scenario1,RandomAgent,96,0,2,collect,0,False
0,scenario1,RandomAgent,97,0,1,left,0,False
0,scenario1,RandomAgent,98,1,1,down,0,False
0,scenario1,RandomAgent,99,1,2,right,0,False
0,scenario1,RandomAgent,100,1,3,right,0,False
0,scenario1,RandomAgent,101,0,3,up,0,False
0,scenario1,RandomAgent,102,0,3,collect,1,False
0,scenario1,RandomAgent,103,0,3,up,1,False
0,scenario1,RandomAgent,104,0,2,left,1,False
0,scenario1,RandomAgent,105,0,2,up,1,False
0,scenario1,RandomAgent,106,0,1,left,1,False
0,scenario1,RandomAgent,107,0,2,right,1,False
0,scenario1,RandomAgent,108,1,2,down,1,False
0,scenario1,RandomAgent,109,1,2,collect,1,False
0,scenario1,RandomAgent,110,1,1,left,1,False
0,scenario1,RandomAgent,111,2,1,down,1,False
0,scenario1,RandomAgent,112,2,2,right,1,False
0,scenario1,RandomAgent,113,3,2,down,1,False
0,scenario1,RandomAgent,114,2,2,up,1,False
0,scenario1,RandomAgent,115,1,2,up,1,False
0,scenario1,RandomAgent,116,0,2,up,1,False
0,scenario1,RandomAgent,117,1,2,down,1,False
0,scenario1,RandomAgent,118,1,2,collect,1,False
0,scenario1,RandomAgent,119,0,2,up,1,False
0,scenario1,RandomAgent,120,0,2,collect,1,False
0,scenario1,RandomAgent,121,0,3,right,1,False
0,scenario1,RandomAgent,122,0,3,collect,1,False
0,scenario1,RandomAgent,123,1,3,down,1,False
0,scenario1,RandomAgent,124,1,3,collect,1,False
0,scenario1,RandomAgent,125,0,3,up,1,False
0,scenario1,RandomAgent,126,0,2,left,1,False
0,scenario1,RandomAgent,127,1,2,down,1,False
0,scenario1,RandomAgent,128,1,3,right,1,False
0,scenario1,RandomAgent,129,1,4,right,1,False
0,scenario1,RandomAgent,130,2,4,down,1,False
0,scenario1,RandomAgent,131,1,4,up,1,False
0,scenario1,RandomAgent,132,1,4,collect,1,False
0,scenario1,RandomAgent,133,2,4,down,1,False
0,scenario1,RandomAgent,134,2,4,right,1,False
0,scenario1,RandomAgent,135,2,3,left,1,False
0,scenario1,RandomAgent,136,2,3,collect,1,False
0,scenario1,RandomAgent,137,2,4,right,1,False
0,scenario1,RandomAgent,138,1,4,up,1,False
0,scenario1,RandomAgent,139,0,4,up,1,True
1,scenario1,RandomAgent,0,0,0,left,0,False
1,scenario1,RandomAgent,1,0,0,left,0,False
1,scenario1,RandomAgent,2,0,0,left,0,False
1,scenario1,RandomAgent,3,0,0,collect,0,False
1,scenario1,RandomAgent,4,0,0,up,0,False
1,scenario1,RandomAgent,5,1,0,down,0,False
1,scenario1,RandomAgent,6,1,1,right,0,False
1,scenario1,RandomAgent,7,1,0,left,0,False
1,scenario1,RandomAgent,8,0,0,up,0,False
1,scenario1,RandomAgent,9,0,0,left,0,False
1,scenario1,RandomAgent,10,0,0,left,0,False
1,scenario1,RandomAgent,11,0,0,left,0,False
1,scenario1,RandomAgent,12,0,0,collect,0,False
1,scenario1,RandomAgent,13,0,0,left,0,False
1,scenario1,RandomAgent,14,0,1,right,0,False
1,scenario1,RandomAgent,15,0,1,up,0,False
1,scenario1,RandomAgent,16,0,0,left,0,False
1,scenario1,RandomAgent,17,0,0,left,0,False
1,scenario1,RandomAgent,18,0,0,up,0,False
1,scenario1,RandomAgent,19,0,0,left,0,False
1,scenario1,RandomAgent,20,1,0,down,0,False
1,scenario1,RandomAgent,21,0,0,up,0,False
1,scenario1,RandomAgent,22,0,0,collect,0,False
1,scenario1,RandomAgent,23,0,0,left,0,False
1,scenario1,RandomAgent,24,0,0,collect,0,False
1,scenario1,RandomAgent,25,1,0,down,0,False
1,scenario1,RandomAgent,26,1,0,left,0,False
1,scenario1,RandomAgent,27,0,0,up,0,False
1,scenario1,RandomAgent,28,0,0,collect,0,False
1,scenario1,RandomAgent,29,0,0,up,0,False
1,scenario1,RandomAgent,30,0,0,up,0,False
1,scenario1,RandomAgent,31,0,0,up,0,False
1,scenario1,RandomAgent,32,0,0,up,0,False
1,scenario1,RandomAgent,33,0,1,right,0,False
1,scenario1,RandomAgent,34,1,1,down,0,False
1,scenario1,RandomAgent,35,1,2,right,0,False
1,scenario1,RandomAgent,36,0,2,up,0,False
1,scenario1,RandomAgent,37,0,1,left,0,False
1,scenario1,RandomAgent,38,0,1,collect,0,False
1,scenario1,RandomAgent,39,0,1,collect,0,False
1,scenario1,RandomAgent,40,1,1,down,0,False
1,scenario1,RandomAgent,41,1,1,collect,0,False
1,scenario1,RandomAgent,42,0,1,up,0,False
1,scenario1,RandomAgent,43,1,1,down,0,False
1,scenario1,RandomAgent,44,2,1,down,0,False
1,scenario1,RandomAgent,45,2,2,right,0,False
1,scenario1,RandomAgent,46,3,2,down,0,False
1,scenario1,RandomAgent,47,2,2,up,0,False
1,scenario1,RandomAgent,48,2,3,right,0,False
1,scenario1,RandomAgent,49,2,4,right,0,False
1,scenario1,RandomAgent,50,2,4,right,0,False
1,scenario1,RandomAgent,51,2,4,right,0,False
1,scenario1,RandomAgent,52,2,3,left,0,False
1,scenario1,RandomAgent,53,1,3,up,0,False
1,scenario1,RandomAgent,54,0,3,up,0,False
1,scenario1,RandomAgent,55,0,3,up,0,False
1,scenario1,RandomAgent,56,0,3,collect,1,False
1,scenario1,RandomAgent,57,1,3,down,1,False
1,scenario1,RandomAgent,58,1,3,collect,1,False
1,scenario1,RandomAgent,59,2,3,down,1,False
1,scenario1,RandomAgent,60,2,3,collect,1,False
1,scenario1,RandomAgent,61,3,3,down,1,False
1,scenario1,RandomAgent,62,3,3,collect,1,False
1,scenario1,RandomAgent,63,3,3,collect,1,False
1,scenario1,RandomAgent,64,2,3,up,1,False
1,scenario1,RandomAgent,65,2,4,right,1,False
1,scenario1,RandomAgent,66,2,3,left,1,False
1,scenario1,RandomAgent,67,1,3,up,1,False
1,scenario1,RandomAgent,68,2,3,down,1,False
1,scenario1,RandomAgent,69,2,4,right,1,False
1,scenario1,RandomAgent,70,1,4,up,1,False
1,scenario1,RandomAgent,71,1,3,left,1,False
1,scenario1,RandomAgent,72,1,4,right,1,False
1,scenario1,RandomAgent,73,1,4,collect,1,False
1,scenario1,RandomAgent,74,0,4,up,1,True
2,scenario1,RandomAgent,0,0,0,collect,0,False
2,scenario1,RandomAgent,1,1,0,down,0,False
2,scenario1,RandomAgent,2,0,0,up,0,False
2,scenario1,RandomAgent,3,1,0,down,0,False
2,scenario1,RandomAgent,4,0,0,up,0,False
2,scenario1,RandomAgent,5,0,0,left,0,False
2,scenario1,RandomAgent,6,0,0,up,0,False
2,scenario1,RandomAgent,7,0,0,up,0,False
2,scenario1,RandomAgent,8,0,0,collect,0,False
2,scenario1,RandomAgent,9,0,0,left,0,False
2,scenario1,RandomAgent,10,0,0,up,0,False
2,scenario1,RandomAgent,11,1,0,down,0,False
2,scenario1,RandomAgent,12,1,0,collect,0,False
2,scenario1,RandomAgent,13,2,0,down,0,False
2,scenario1,RandomAgent,14,2,0,collect,0,False
2,scenario1,RandomAgent,15,2,0,collect,0,False
2,scenario1,RandomAgent,16,2,0,left,0,False
2,scenario1,RandomAgent,17,1,0,up,0,False
2,scenario1,RandomAgent,18,0,0,up,0,False
2,scenario1,RandomAgent,19,1,0,down,0,False
2,scenario1,RandomAgent,20,2,0,down,0,False
2,scenario1,RandomAgent,21,1,0,up,0,False
2,scenario1,RandomAgent,22,1,0,left,0,False
2,scenario1,RandomAgent,23,2,0,down,0,False
2,scenario1,RandomAgent,24,2,1,right,0,False
2,scenario1,RandomAgent,25,2,0,left,0,False
2,scenario1,RandomAgent,26,2,0,left,0,False
2,scenario1,RandomAgent,27,2,0,left,0,False
2,scenario1,RandomAgent,28,2,0,left,0,False
2,scenario1,RandomAgent,29,2,1,right,0,False
2,scenario1,RandomAgent,30,2,0,left,0,False
2,scenario1,RandomAgent,31,1,0,up,0,False
2,scenario1,RandomAgent,32,1,1,right,0,False
2,scenario1,RandomAgent,33,2,1,down,0,False
2,scenario1,RandomAgent,34,1,1,up,0,False
2,scenario1,RandomAgent,35,1,2,right,0,False
2,scenario1,RandomAgent,36,1,1,left,0,False
2,scenario1,RandomAgent,37,1,0,left,0,False
2,scenario1,RandomAgent,38,1,1,right,0,False
2,scenario1,RandomAgent,39,1,2,right,0,False
2,scenario1,RandomAgent,40,1,1,left,0,False
2,scenario1,RandomAgent,41,0,1,up,0,False
2,scenario1,RandomAgent,42,1,1,down,0,False
2,scenario1,RandomAgent,43,2,1,down,0,False
2,scenario1,RandomAgent,44,2,0,left,0,False
2,scenario1,RandomAgent,45,2,0,collect,0,False
2,scenario1,RandomAgent,46,2,0,left,0,False
2,scenario1,RandomAgent,47,1,0,up,0,False
2,scenario1,RandomAgent,48,2,0,down,0,False
2,scenario1,RandomAgent,49,3,0,down,0,False
2,scenario1,RandomAgent,50,3,0,left,0,False
2,scenario1,RandomAgent,51,3,0,left,0,False
2,scenario1,RandomAgent,52,3,1,right,0,False
2,scenario1,RandomAgent,53,3,1,collect,0,False
2,scenario1,RandomAgent,54,3,0,left,0,False
2,scenario1,RandomAgent,55,3,1,right,0,False
2,scenario1,RandomAgent,56,2,1,up,0,False
2,scenario1,RandomAgent,57,2,1,collect,0,False
2,scenario1,RandomAgent,58,2,0,left,0,False
2,scenario1,RandomAgent,59,2,1,right,0,False
2,scenario1,RandomAgent,60,2,2,right,0,False
2,scenario1,RandomAgent,61,2,2,collect,0,False
2,scenario1,RandomAgent,62,2,3,right,0,False
2,scenario1,RandomAgent,63,3,3,down,0,False
2,scenario1,RandomAgent,64,2,3,up,0,False
2,scenario1,RandomAgent,65,1,3,up,0,False
2,scenario1,RandomAgent,66,0,3,up,0,False
2,scenario1,RandomAgent,67,0,3,collect,1,False
2,scenario1,RandomAgent,68,1,3,down,1,False
2,scenario1,RandomAgent,69,2,3,down,1,False
2,scenario1,RandomAgent,70,1,3,up,1,False
2,scenario1,RandomAgent,71,1,2,left,1,False
2,scenario1,RandomAgent,72,0,2,up,1,False
2,scenario1,RandomAgent,73,0,2,up,1,False
2,scenario1,RandomAgent,74,0,3,right,1,False
2,scenario1,RandomAgent,75,0,3,collect,1,False
2,scenario1,RandomAgent,76,0,4,right,1,True
3,scenario1,RandomAgent,0,1,0,down,0,False
3,scenario1,RandomAgent,1,1,0,left,0,False
3,scenario1,RandomAgent,2,0,0,up,0,False
3,scenario1,RandomAgent,3,0,0,left,0,False
3,scenario1,RandomAgent,4,1,0,down,0,False
3,scenario1,RandomAgent,5,0,0,up,0,False
3,scenario1,RandomAgent,6,0,1,right,0,False
3,scenario1,RandomAgent,7,0,1,up,0,False
3,scenario1,RandomAgent,8,0,1,collect,0,False
3,scenario1,RandomAgent,9,0,1,collect,0,False
3,scenario1,RandomAgent,10,0,2,right,0,False
3,scenario1,RandomAgent,11,0,2,up,0,False
3,scenario1,RandomAgent,12,0,2,collect,0,False
3,scenario1,RandomAgent,13,0,1,left,0,False
3,scenario1,RandomAgent,14,1,1,down,0,False
3,scenario1,RandomAgent,15,0,1,up,0,False
3,scenario1,RandomAgent,16,0,1,collect,0,False
3,scenario1,RandomAgent,17,0,1,up,0,False
3,scenario1,RandomAgent,18,0,1,up,0,False
3,scenario1,RandomAgent,19,1,1,down,0,False
3,scenario1,RandomAgent,20,0,1,up,0,False
3,scenario1,RandomAgent,21,0,1,collect,0,False
3,scenario1,RandomAgent,22,0,1,collect,0,False
3,scenario1,RandomAgent,23,0,1,up,0,False
3,scenario1,RandomAgent,24,0,0,left,0,False
3,scenario1,RandomAgent,25,0,1,right,0,False
3,scenario1,RandomAgent,26,0,1,up,0,False
3,scenario1,RandomAgent,27,0,1,collect,0,False
3,scenario1,RandomAgent,28,0,2,right,0,False
3,scenario1,RandomAgent,29,0,2,collect,0,False
3,scenario1,RandomAgent,30,1,2,down,0,False
3,scenario1,RandomAgent,31,1,2,collect,0,False
3,scenario1,RandomAgent,32,1,1,left,0,False
3,scenario1,RandomAgent,33,1,0,left,0,False
3,scenario1,RandomAgent,34,1,1,right,0,False
3,scenario1,RandomAgent,35,0,1,up,0,False
3,scenario1,RandomAgent,36,0,1,collect,0,False
3,scenario1,RandomAgent,37,0,0,left,0,False
3,scenario1,RandomAgent,38,1,0,down,0,False
3,scenario1,RandomAgent,39,1,0,left,0,False
3,scenario1,RandomAgent,40,1,0,collect,0,False
3,scenario1,RandomAgent,41,1,1,right,0,False
3,scenario1,RandomAgent,42,2,1,down,0,False
3,scenario1,RandomAgent,43,2,2,right,0,False
3,scenario1,RandomAgent,44,3,2,down,0,False
3,scenario1,RandomAgent,45,3,3,right,0,False
3,scenario1,RandomAgent,46,4,3,down,0,False
3,scenario1,RandomAgent,47,4,4,right,0,False
3,scenario1,RandomAgent,48,4,4,down,0,False
3,scenario1,RandomAgent,49,4,4,collect,0,False
3,scenario1,RandomAgent,50,4,4,right,0,False
3,scenario1,RandomAgent,51,4,4,right,0,False
3,scenario1,RandomAgent,52,4,4,down,0,False
3,scenario1,RandomAgent,53,4,4,right,0,False
3,scenario1,RandomAgent,54,3,4,up,0,False
3,scenario1,RandomAgent,55,3,4,collect,0,False
3,scenario1,RandomAgent,56,4,4,down,0,False
3,scenario1,RandomAgent,57,4,4,right,0,False
3,scenario1,RandomAgent,58,4,4,right,0,False
3,scenario1,RandomAgent,59,4,4,right,0,False
3,scenario1,RandomAgent,60,4,3,left,0,False
3,scenario1,RandomAgent,61,3,3,up,0,False
3,scenario1,RandomAgent,62,4,3,down,0,False
3,scenario1,RandomAgent,63,4,3,down,0,False
3,scenario1,RandomAgent,64,4,2,left,0,False
3,scenario1,RandomAgent,65,3,2,up,0,False
3,scenario1,RandomAgent,66,3,3,right,0,False
3,scenario1,RandomAgent,67,4,3,down,0,False
3,scenario1,RandomAgent,68,4,3,down,0,False
3,scenario1,RandomAgent,69,4,3,down,0,False
3,scenario1,RandomAgent,70,4,4,right,0,False
3,scenario1,RandomAgent,71,4,3,left,0,False
3,scenario1,RandomAgent,72,3,3,up,0,False
3,scenario1,RandomAgent,73,3,3,collect,0,False
3,scenario1,RandomAgent,74,3,3,collect,0,False
3,scenario1,RandomAgent,75,3,4,right,0,False
3,scenario1,RandomAgent,76,2,4,up,0,False
3,scenario1,RandomAgent,77,3,4,down,0,False
3,scenario1,RandomAgent,78,3,4,collect,0,False
3,scenario1,RandomAgent,79,3,4,right,0,False
3,scenario1,RandomAgent,80,4,4,down,0,False
3,scenario1,RandomAgent,81,3,4,up,0,False
3,scenario1,RandomAgent,82,3,4,collect,0,False
3,scenario1,RandomAgent,83,2,4,up,0,False
3,scenario1,RandomAgent,84,3,4,down,0,False
3,scenario1,RandomAgent,85,2,4,up,0,False
3,scenario1,RandomAgent,86,1,4,up,0,False
3,scenario1,RandomAgent,87,1,4,collect,0,False
3,scenario1,RandomAgent,88,1,3,left,0,False
3,scenario1,RandomAgent,89,0,3,up,0,False
3,scenario1,RandomAgent,90,0,4,right,0,False
3,scenario1,RandomAgent,91,0,4,right,0,False
3,scenario1,RandomAgent,92,0,3,left,0,False
3,scenario1,RandomAgent,93,0,2,left,0,False
3,scenario1,RandomAgent,94,0,3,right,0,False
3,scenario1,RandomAgent,95,0,3,collect,1,False
3,scenario1,RandomAgent,96,0,4,right,1,True
4,scenario1,RandomAgent,0,0,1,right,0,False
4,scenario1,RandomAgent,1,0,2,right,0,False
4,scenario1,RandomAgent,2,0,2,up,0,False
4,scenario1,RandomAgent,3,0,2,up,0,False
4,scenario1,RandomAgent,4,0,2,up,0,False
4,scenario1,RandomAgent,5,0,2,collect,0,False
4,scenario1,RandomAgent,6,0,3,right,0,False
4,scenario1,RandomAgent,7,0,3,up,0,False
4,scenario1,RandomAgent,8,0,3,up,0,False
4,scenario1,RandomAgent,9,0,4,right,0,False
4,scenario1,RandomAgent,10,1,4,down,0,False
4,scenario1,RandomAgent,11,0,4,up,0,False
4,scenario1,RandomAgent,12,0,3,left,0,False
4,scenario1,RandomAgent,13,0,3,collect,1,False
4,scenario1,RandomAgent,14,0,3,up,1,False
4,scenario1,RandomAgent,15,0,2,left,1,False
4,scenario1,RandomAgent,16,0,2,up,1,False
4,scenario1,RandomAgent,17,1,2,down,1,False
4,scenario1,RandomAgent,18,1,3,right,1,False
4,scenario1,RandomAgent,19,1,2,left,1,False
4,scenario1,RandomAgent,20,1,3,right,1,False
4,scenario1,RandomAgent,21,1,2,left,1,False
4,scenario1,RandomAgent,22,0,2,up,1,False
4,scenario1,RandomAgent,23,1,2,down,1,False
4,scenario1,RandomAgent,24,1,3,right,1,False
4,scenario1,RandomAgent,25,0,3,up,1,False
4,scenario1,RandomAgent,26,1,3,down,1,False
4,scenario1,RandomAgent,27,1,4,right,1,False
4,scenario1,RandomAgent,28,2,4,down,1,False
4,scenario1,RandomAgent,29,2,3,left,1,False
4,scenario1,RandomAgent,30,2,2,left,1,False
4,scenario1,RandomAgent,31,1,2,up,1,False
4,scenario1,RandomAgent,32,0,2,up,1,False
4,scenario1,RandomAgent,33,0,2,up,1,False
4,scenario1,RandomAgent,34,0,3,right,1,False
4,scenario1,RandomAgent,35,0,3,up,1,False
4,scenario1,RandomAgent,36,0,2,left,1,False
4,scenario1,RandomAgent,37,1,2,down,1,False
4,scenario1,RandomAgent,38,2,2,down,1,False
4,scenario1,RandomAgent,39,2,3,right,1,False
4,scenario1,RandomAgent,40,2,2,left,1,False
4,scenario1,RandomAgent,41,1,2,up,1,False
4,scenario1,RandomAgent,42,0,2,up,1,False
4,scenario1,RandomAgent,43,0,2,up,1,False
4,scenario1,RandomAgent,44,0,2,up,1,False
4,scenario1,RandomAgent,45,0,3,right,1,False
4,scenario1,RandomAgent,46,0,3,collect,1,False
4,scenario1,RandomAgent,47,0,4,right,1,True
5,scenario1,RandomAgent,0,1,0,down,0,False
5,scenario1,RandomAgent,1,1,1,right,0,False
5,scenario1,RandomAgent,2,1,1,collect,0,False
5,scenario1,RandomAgent,3,1,0,left,0,False
5,scenario1,RandomAgent,4,2,0,down,0,False
5,scenario1,RandomAgent,5,1,0,up,0,False
5,scenario1,RandomAgent,6,1,0,collect,0,False
5,scenario1,RandomAgent,7,0,0,up,0,False
5,scenario1,RandomAgent,8,0,0,up,0,False
5,scenario1,RandomAgent,9,0,0,collect,0,False
5,scenario1,RandomAgent,10,1,0,down,0,False
5,scenario1,RandomAgent,11,0,0,up,0,False
5,scenario1,RandomAgent,12,1,0,down,0,False
5,scenario1,RandomAgent,13,2,0,down,0,False
5,scenario1,RandomAgent,14,2,1,right,0,False
5,scenario1,RandomAgent,15,2,2,right,0,False
5,scenario1,RandomAgent,16,3,2,down,0,False
5,scenario1,RandomAgent,17,3,3,right,0,False
5,scenario1,RandomAgent,18,3,4,right,0,False
5,scenario1,RandomAgent,19,3,4,collect,0,False
5,scenario1,RandomAgent,20,3,3,left,0,False
5,scenario1,RandomAgent,21,2,3,up,0,False
5,scenario1,RandomAgent,22,2,4,right,0,False
5,scenario1,RandomAgent,23,3,4,down,0,False
5,scenario1,RandomAgent,24,2,4,up,0,False
5,scenario1,RandomAgent,25,2,4,right,0,False
5,scenario1,RandomAgent,26,2,4,collect,0,False
5,scenario1,RandomAgent,27,1,4,up,0,False
5,scenario1,RandomAgent,28,0,4,up,0,False
5,scenario1,RandomAgent,29,0,4,collect,0,False
5,scenario1,RandomAgent,30,0,3,left,0,False
5,scenario1,RandomAgent,31,0,3,collect,1,False
5,scenario1,RandomAgent,32,0,3,up,1,False
5,scenario1,RandomAgent,33,0,4,right,1,True
6,scenario1,RandomAgent,0,0,0,collect,0,False
6,scenario1,RandomAgent,1,0,0,up,0,False
6,scenario1,RandomAgent,2,0,0,left,0,False
6,scenario1,RandomAgent,3,0,0,left,0,False
6,scenario1,RandomAgent,4,0,0,up,0,False
6,scenario1,RandomAgent,5,1,0,down,0,False
6,scenario1,RandomAgent,6,1,0,left,0,False
6,scenario1,RandomAgent,7,0,0,up,0,False
6,scenario1,RandomAgent,8,0,1,right,0,False
6,scenario1,RandomAgent,9,0,1,collect,0,False
6,scenario1,RandomAgent,10,1,1,down,0,False
6,scenario1,RandomAgent,11,1,2,right,0,False
6,scenario1,RandomAgent,12,1,1,left,0,False
6,scenario1,RandomAgent,13,1,1,collect,0,False
6,scenario1,RandomAgent,14,0,1,up,0,False
6,scenario1,RandomAgent,15,0,0,left,0,False
6,scenario1,RandomAgent,16,0,0,collect,0,False
6,scenario1,RandomAgent,17,1,0,down,0,False
6,scenario1,RandomAgent,18,1,0,left,0,False
6,scenario1,RandomAgent,19,2,0,down,0,False
6,scenario1,RandomAgent,20,2,0,collect,0,False
6,scenario1,RandomAgent,21,1,0,up,0,False
6,scenario1,RandomAgent,22,1,0,collect,0,False
6,scenario1,RandomAgent,23,2,0,down,0,False
6,scenario1,RandomAgent,24,3,0,down,0,False
6,scenario1,RandomAgent,25,3,1,right,0,False
6,scenario1,RandomAgent,26,3,0,left,0,False
6,scenario1,RandomAgent,27,2,0,up,0,False
6,scenario1,RandomAgent,28,2,1,right,0,False
6,scenario1,RandomAgent,29,1,1,up,0,False
6,scenario1,RandomAgent,30,2,1,down,0,False
6,scenario1,RandomAgent,31,3,1,down,0,False
6,scenario1,RandomAgent,32,2,1,up,0,False
6,scenario1,RandomAgent,33,3,1,down,0,False
6,scenario1,RandomAgent,34,2,1,up,0,False
6,scenario1,RandomAgent,35,2,0,left,0,False
6,scenario1,RandomAgent,36,3,0,down,0,False
6,scenario1,RandomAgent,37,3,1,right,0,False
6,scenario1,RandomAgent,38,2,1,up,0,False
6,scenario1,RandomAgent,39,2,2,right,0,False
6,scenario1,RandomAgent,40,2,2,collect,0,False
6,scenario1,RandomAgent,41,1,2,up,0,False
6,scenario1,RandomAgent,42,2,2,down,0,False
6,scenario1,RandomAgent,43,2,1,left,0,False
6,scenario1,RandomAgent,44,2,1,collect,0,False
6,scenario1,RandomAgent,45,2,2,right,0,False
6,scenario1,RandomAgent,46,2,2,collect,0,False
6,scenario1,RandomAgent,47,3,2,down,0,False
6,scenario1,RandomAgent,48,3,3,right,0,False
6,scenario1,RandomAgent,49,3,4,right,0,False
6,scenario1,RandomAgent,50,3,4,right,0,False
6,scenario1,RandomAgent,51,3,4,collect,0,False
6,scenario1,RandomAgent,52,3,4,right,0,False
6,scenario1,RandomAgent,53,3,3,left,0,False
6,scenario1,RandomAgent,54,2,3,up,0,False
6,scenario1,RandomAgent,55,2,3,collect,0,False
6,scenario1,RandomAgent,56,3,3,down,0,False
6,scenario1,RandomAgent,57,3,3,collect,0,False
6,scenario1,RandomAgent,58,2,3,up,0,False
6,scenario1,RandomAgent,59,3,3,down,0,False
6,scenario1,RandomAgent,60,4,3,down,0,False
6,scenario1,RandomAgent,61,4,3,collect,0,False
